,Cities,Countries
83398,Scherpenisse,Netherlands
83399,Schermerhorn,Netherlands
83400,Schelluinen,Netherlands
83401,Scheemda,Netherlands
83402,Scharnegoutum,Netherlands
83403,Scharn,Netherlands
83404,Scharendijke,Netherlands
83405,Schalkhaar,Netherlands
83406,Schaijk,Netherlands
83407,Schagerbrug,Netherlands
83408,Schagen,Netherlands
83409,Sas van Gent,Netherlands
83410,Sassenheim,Netherlands
83411,Sappemeer,Netherlands
83412,Ruurlo,Netherlands
83413,Ruinerwold,Netherlands
83414,Ruinen,Netherlands
83415,Rugge,Netherlands
83416,Rucphen,Netherlands
83417,Rozendaal,Netherlands
83418,Rozenburg,Netherlands
83419,Rottevalle,Netherlands
83420,Rotterdam,Netherlands
83421,Rothem,Netherlands
83422,Rossum,Netherlands
83423,Rossum,Netherlands
83424,Roosteren,Netherlands
83425,Roosendaal,Netherlands
83426,Rolde,Netherlands
83427,Roermond,Netherlands
83428,Roelofarendsveen,Netherlands
83429,Roden,Netherlands
83430,Rockanje,Netherlands
83431,Rijswijk,Netherlands
83432,Rijswijk,Netherlands
83433,Rijsoord,Netherlands
83434,Rijsbergen,Netherlands
83435,Rijpwetering,Netherlands
83436,Rijnsburg,Netherlands
83437,Rijnsaterwoude,Netherlands
83438,Rijen,Netherlands
83439,Riethoven,Netherlands
83440,Ridderkerk,Netherlands
83441,Rhoon,Netherlands
83442,Rhenen,Netherlands
83443,Rheden,Netherlands
83444,Reuver,Netherlands
83445,Reusel,Netherlands
83446,Renswoude,Netherlands
83447,Renkum,Netherlands
83448,Renesse,Netherlands
83449,Reeuwijk,Netherlands
83450,Reek,Netherlands
83451,Ravenstein,Netherlands
83452,Raamsdonksveer,Netherlands
83453,Raamsdonk,Netherlands
83454,Raam,Netherlands
83455,Raalte,Netherlands
83456,Quirijnstok,Netherlands
83457,Putten,Netherlands
83458,Putte,Netherlands
83459,Puth,Netherlands
83460,Purmerend,Netherlands
83461,Puiflijk,Netherlands
83462,Prinsenbeek,Netherlands
83463,Princenhage,Netherlands
83464,Pottenberg,Netherlands
83465,Posterholt,Netherlands
83466,Poortvliet,Netherlands
83467,Poeldijk,Netherlands
83468,Pijnacker,Netherlands
83469,Piershil,Netherlands
83470,Pierik,Netherlands
83471,Petten,Netherlands
83472,Pernis,Netherlands
83473,Pendrecht,Netherlands
83474,Peize,Netherlands
83475,Peij,Netherlands
83476,Peelo,Netherlands
83477,Pathmos,Netherlands
83478,Paterswolde,Netherlands
83479,Passart,Netherlands
83480,Papenveer,Netherlands
83481,Papendrecht,Netherlands
83482,Panningen,Netherlands
83483,Pannerden,Netherlands
83484,Palenstein,Netherlands
83485,Overveen,Netherlands
83486,Overschie,Netherlands
83487,Overloon,Netherlands
83488,Overhoven,Netherlands
83489,Overberg,Netherlands
83490,Overasselt,Netherlands
83491,Oud-Vossemeer,Netherlands
83492,Oud-Loosdrecht,Netherlands
83493,Oudkarspel,Netherlands
83494,Oud Gastel,Netherlands
83495,Oude Wetering,Netherlands
83496,Oudewater,Netherlands
83497,Oudeschoot,Netherlands
83498,Oudeschild,Netherlands
83499,Ouderkerk aan den IJssel,Netherlands
83500,Ouderkerk aan de Amstel,Netherlands
83501,Oude Pekela,Netherlands
83502,Oudemirdum,Netherlands
83503,Oudehaske,Netherlands
83504,Oudega,Netherlands
83505,Ouddorp,Netherlands
83506,Oud-Caberg,Netherlands
83507,Oud-Beijerland,Netherlands
83508,Ottersum,Netherlands
83509,Otterlo,Netherlands
83510,Othene,Netherlands
83511,Ossendrecht,Netherlands
83512,Oss,Netherlands
83513,Ospel,Netherlands
83514,Orthen,Netherlands
83515,Orden,Netherlands
83516,Oranjewoud,Netherlands
83517,Opperdoes,Netherlands
83518,Oppenhuizen,Netherlands
83519,Opmeer,Netherlands
83520,Opijnen,Netherlands
83521,Ophoven,Netherlands
83522,Opheusden,Netherlands
83523,Ophemert,Netherlands
83524,Opeinde,Netherlands
83525,Ooyerhoek,Netherlands
83526,Ootmarsum,Netherlands
83527,Oostvoorne,Netherlands
83528,Oost-Vlieland,Netherlands
83529,Oostrum,Netherlands
83530,Oostkapelle,Netherlands
83531,Oosthuizen,Netherlands
83532,Oosterzij,Netherlands
83533,Oosterwolde,Netherlands
83534,Oosterpark,Netherlands
83535,Eastermar,Netherlands
83536,Oostermeenthe,Netherlands
83537,Oosterland,Netherlands
83538,Oosterhout,Netherlands
83539,Oosterhout,Netherlands
83540,Oosterhoogebrug,Netherlands
83541,Oosterholt,Netherlands
83542,Oosterhesselen,Netherlands
83543,Oosterblokker,Netherlands
83544,Oosterbeek,Netherlands
83545,Oostendorp,Netherlands
83546,Oostelbeers,Netherlands
83547,Oosteinde,Netherlands
83548,Oosteind,Netherlands
83549,Oostdorp,Netherlands
83550,Oostburg,Netherlands
83551,Ooy,Netherlands
83552,Ooij,Netherlands
83553,Oog in Al,Netherlands
83554,Onstwedde,Netherlands
83555,Onderdijk,Netherlands
83556,Ommoord,Netherlands
83557,Ommen,Netherlands
83558,Ommelanderwijk,Netherlands
83559,Olst,Netherlands
83560,Oldenzaal,Netherlands
83561,Oldemarkt,Netherlands
83562,Oldehove,Netherlands
83563,Oldebroek,Netherlands
83564,Aldeboarn,Netherlands
83565,Oldeberkoop,Netherlands
83566,Oisterwijk,Netherlands
83567,Oirschot,Netherlands
83568,Oirsbeek,Netherlands
83569,Oirlo,Netherlands
83570,Offenbeek,Netherlands
83571,Oerle,Netherlands
83572,Oentsjerk,Netherlands
83573,Oegstgeest,Netherlands
83574,Odoorn,Netherlands
83575,Odiliapeel,Netherlands
83576,Odijk,Netherlands
83577,Ochten,Netherlands
83578,Obergum,Netherlands
83579,Obdam,Netherlands
83580,Obbicht,Netherlands
83581,Nuth,Netherlands
83582,Nunspeet,Netherlands
83583,Numansdorp,Netherlands
83584,Nuenen,Netherlands
83585,Norg,Netherlands
83586,Noordwolde,Netherlands
83587,Noordwijkerhout,Netherlands
83588,Noordwijk-Binnen,Netherlands
83589,Noord-Scharwoude,Netherlands
83590,Noordhorn,Netherlands
83591,Noord-Hofland,Netherlands
83592,Noordhoek,Netherlands
83593,Noordgeest,Netherlands
83594,Noordeloos,Netherlands
83595,Noordeinde,Netherlands
83596,Noordbroek,Netherlands
83597,Noardburgum,Netherlands
83598,Noordbarge,Netherlands
83599,Nistelrode,Netherlands
83600,Nispen,Netherlands
83601,Nijrees,Netherlands
83602,Nijnsel,Netherlands
83603,Nijmegen,Netherlands
83604,Nijkerkerveen,Netherlands
83605,Nijkerk,Netherlands
83606,Nijenheim,Netherlands
83607,Nieuw-Vossemeer,Netherlands
83608,Nieuwveen,Netherlands
83609,Nieuw-Roden,Netherlands
83610,Nieuwpoort,Netherlands
83611,Nieuwoord,Netherlands
83612,Nieuwolda,Netherlands
83613,Nieuw-Lotbroek,Netherlands
83614,Nieuw-Loosdrecht,Netherlands
83615,Nieuw-Lekkerland,Netherlands
83616,Nieuw- en Sint Joosland,Netherlands
83617,Nieuwkuijk,Netherlands
83618,Nieuwkoop,Netherlands
83619,Nieuwerkerk,Netherlands
83620,Nieuwe Pekela,Netherlands
83621,Nieuwe-Niedorp,Netherlands
83622,Nieuwenhoorn,Netherlands
83623,Nieuwehorne,Netherlands
83624,Nieuwegein,Netherlands
83625,Nieuwdorp,Netherlands
83626,Nieuw-Dordrecht,Netherlands
83627,Nieuw-Buinen,Netherlands
83628,Nieuw-Beijerland,Netherlands
83629,Niekerk,Netherlands
83630,Nes,Netherlands
83631,Nes,Netherlands
83632,Neerkant,Netherlands
83633,Neerbeek,Netherlands
83634,Andel,Netherlands
83635,Neede,Netherlands
83636,Nederwoud,Netherlands
83637,Nederweert,Netherlands
83638,Nederhemert-Noord,Netherlands
83639,Nederhemert,Netherlands
83640,Neder-Hardinxveld,Netherlands
83641,Naastenbest,Netherlands
83642,Naarden,Netherlands
83643,Naaldwijk,Netherlands
83644,Munstergeleen,Netherlands
83645,Muiderberg,Netherlands
83646,Muiden,Netherlands
83647,Mook,Netherlands
83648,Montfort,Netherlands
83649,Montfoort,Netherlands
83650,Monster,Netherlands
83651,Monnickendam,Netherlands
83652,Molenhoek,Netherlands
83653,Moesel,Netherlands
83654,Moerdijk,Netherlands
83655,Minnertsga,Netherlands
83656,Milsbeek,Netherlands
83657,Milheeze,Netherlands
83658,Mijnsheerenland,Netherlands
83659,Mijdrecht,Netherlands
83660,Mierlo,Netherlands
83661,Midwoud,Netherlands
83662,Midwolda,Netherlands
83663,Middenmeer,Netherlands
83664,Middenbeemster,Netherlands
83665,Middelstum,Netherlands
83666,Middelsluis,Netherlands
83667,Middelrode,Netherlands
83668,Middelharnis,Netherlands
83669,Middelburg,Netherlands
83670,Middelbeers,Netherlands
83671,Meteren,Netherlands
83672,Merum,Netherlands
83673,Merselo,Netherlands
83674,Merkelbeek,Netherlands
83675,Merenwijk,Netherlands
83676,Meppel,Netherlands
83677,Menaam,Netherlands
83678,Melle,Netherlands
83679,Meliskerke,Netherlands
83680,Melick,Netherlands
83681,Melderslo,Netherlands
83682,Mekkelholt,Netherlands
83683,Meijel,Netherlands
83684,Megen,Netherlands
83685,Meezenbroek,Netherlands
83686,Meerveldhoven,Netherlands
83687,Meerssen,Netherlands
83688,Meerlo,Netherlands
83689,Meeden,Netherlands
83690,Medemblik,Netherlands
83691,Mechelen,Netherlands
83692,Maurik,Netherlands
83693,Marum,Netherlands
83694,Marsum,Netherlands
83695,Marrum,Netherlands
83696,Markelo,Netherlands
83697,Mariarade,Netherlands
83698,Mariahout,Netherlands
83699,Margraten,Netherlands
83700,Mantgum,Netherlands
83701,Malta,Netherlands
83702,Malburgen West,Netherlands
83703,Malberg,Netherlands
83704,Makkum,Netherlands
83705,Makkum,Netherlands
83706,Magele,Netherlands
83707,Made,Netherlands
83708,Maastricht,Netherlands
83709,Maassluis,Netherlands
83710,Maasland,Netherlands
83711,Maaskantje,Netherlands
83712,Maasdijk,Netherlands
83713,Maasbree,Netherlands
83714,Maasbracht,Netherlands
83715,Maartensdijk,Netherlands
83716,Maarssen,Netherlands
83717,Maarn,Netherlands
83718,Maarheeze,Netherlands
83719,Luyksgestel,Netherlands
83720,Lutjebroek,Netherlands
83721,Lunteren,Netherlands
83722,Loven,Netherlands
83723,Lottum,Netherlands
83724,Losser,Netherlands
83725,Loppersum,Netherlands
83726,Lopik,Netherlands
83727,Loosbroek,Netherlands
83728,Loon op Zand,Netherlands
83729,Lombardijen,Netherlands
83730,Loenen,Netherlands
83731,Lochem,Netherlands
83732,Lobith,Netherlands
83733,Lith,Netherlands
83734,Lisserbroek,Netherlands
83735,Lisse,Netherlands
83736,Linschoten,Netherlands
83737,Linne,Netherlands
83738,Lindenholt,Netherlands
83739,Lindenheuvel,Netherlands
83740,Limmel,Netherlands
83741,Limbricht,Netherlands
83742,Lievendaal,Netherlands
83743,Liesveld,Netherlands
83744,Liessel,Netherlands
83745,Lieshout,Netherlands
83746,Lierop,Netherlands
83747,Lienden,Netherlands
83748,Liempde,Netherlands
83749,Lichtenvoorde,Netherlands
83750,Lichtenberg,Netherlands
83751,Leuth,Netherlands
83752,Leusden,Netherlands
83753,Leunen,Netherlands
83754,Leuken,Netherlands
83755,Lepelstraat,Netherlands
83756,Lent,Netherlands
83757,Lemmer,Netherlands
83758,Lelystad,Netherlands
83759,Leimuiden,Netherlands
83760,Leiderdorp,Netherlands
83761,Leiden,Netherlands
83762,Leeuwen,Netherlands
83763,Leeuwarden,Netherlands
83764,Leesten,Netherlands
83765,Leest,Netherlands
83766,Leersum,Netherlands
83767,Leerdam,Netherlands
83768,Leens,Netherlands
83769,Leende,Netherlands
83770,Leek,Netherlands
83771,Lauradorp,Netherlands
83772,Laren,Netherlands
83773,Laren,Netherlands
83774,Langweer,Netherlands
83775,Langenoord,Netherlands
83776,Langenboom,Netherlands
83777,Langeheit,Netherlands
83778,Landsmeer,Netherlands
83779,Lammerenburg,Netherlands
83780,Lage Mierde,Netherlands
83781,Kwintsheul,Netherlands
83782,Kunrade,Netherlands
83783,Kudelstaart,Netherlands
83784,Kruisland,Netherlands
83785,Kruisberg,Netherlands
83786,Krooswijk,Netherlands
83787,Krimpen aan den IJssel,Netherlands
83788,Krakeel,Netherlands
83789,Koudum,Netherlands
83790,Koudekerke,Netherlands
83791,Korvel,Netherlands
83792,Kortenhoef,Netherlands
83793,Korrewegwijk,Netherlands
83794,Kootwijkerbroek,Netherlands
83795,Kootstertille,Netherlands
83796,Koningslust,Netherlands
83797,Koningsbosch,Netherlands
83798,Kollumerzwaag,Netherlands
83799,Kollum,Netherlands
83800,Koewacht,Netherlands
83801,Koekange,Netherlands
83802,Klundert,Netherlands
83803,Kloetinge,Netherlands
83804,Klimmen,Netherlands
83805,Klein-Zundert,Netherlands
83806,Klein Driene,Netherlands
83807,Klazienaveen,Netherlands
83808,Klarenbeek,Netherlands
83809,Klaaswaal,Netherlands
83810,Kijkduin,Netherlands
83811,Kesteren,Netherlands
83812,Kessel,Netherlands
83813,Kerschoten,Netherlands
83814,Kerkrade,Netherlands
83815,Kerkelanden,Netherlands
83816,Kerkehout,Netherlands
83817,Kerkdriel,Netherlands
83818,Marken,Netherlands
83819,Kerensheide,Netherlands
83820,Kerckebosch,Netherlands
83821,Keijenborg,Netherlands
83822,Keent,Netherlands
83823,Kedichem,Netherlands
83824,Katwijk aan Zee,Netherlands
83825,Katwijk aan den Rijn,Netherlands
83826,Katendrecht,Netherlands
83827,Kamperland,Netherlands
83828,Kampen,Netherlands
83829,Kalsdonk,Netherlands
83830,Kakert,Netherlands
83831,Kadoelen,Netherlands
83832,Kaalheide,Netherlands
83833,Joure,Netherlands
83834,Jagershoef,Netherlands
83835,Jirnsum,Netherlands
83836,Ingen,Netherlands
83837,Ilpendam,Netherlands
83838,IJzendijke,Netherlands
83839,Ysselsteyn,Netherlands
83840,IJsselstein,Netherlands
83841,IJlst,Netherlands
83842,Husken,Netherlands
83843,Hummelo,Netherlands
83844,Hulst,Netherlands
83845,Hulsberg,Netherlands
83846,Huizen,Netherlands
83847,Huizum,Netherlands
83848,Huijbergen,Netherlands
83849,Houthem,Netherlands
83850,Houten,Netherlands
83851,Horssen,Netherlands
83852,Hopel,Netherlands
83853,Hoorn,Netherlands
83854,Hoogwoud,Netherlands
83855,Hoogmade,Netherlands
83856,Hoogland,Netherlands
83857,Hooge Zwaluwe,Netherlands
83858,Hoogezand,Netherlands
83859,Hoogeveen,Netherlands
83860,Hoogerheide,Netherlands
83861,Hooge Mierde,Netherlands
83862,Hoogeloon,Netherlands
83863,Hoogblokland,Netherlands
83864,Hoofddorp,Netherlands
83865,Honselersdijk,Netherlands
83866,Holz,Netherlands
83867,Holwerd,Netherlands
83868,Holtum,Netherlands
83869,Hollum,Netherlands
83870,Hollandsche Rading,Netherlands
83871,Hoge Mors,Netherlands
83872,Hoge Vucht,Netherlands
83873,Hofgeest,Netherlands
83874,Hoeven,Netherlands
83875,Hoeven,Netherlands
83876,Hoensbroek,Netherlands
83877,Hoek van Holland,Netherlands
83878,Hippolytushoef,Netherlands
83879,Hilversumse Meent,Netherlands
83880,Hilversum,Netherlands
83881,Hilvarenbeek,Netherlands
83882,Hillegom,Netherlands
83883,Heythuysen,Netherlands
83884,Heusdenhout,Netherlands
83885,Heusden,Netherlands
83886,Heusden,Netherlands
83887,Heumen,Netherlands
83888,Heugem,Netherlands
83889,Het Oostrik,Netherlands
83890,Het Loo,Netherlands
83891,Heteren,Netherlands
83892,Herwijnen,Netherlands
83893,Herten,Netherlands
83894,Herpen,Netherlands
83895,Herkenbosch,Netherlands
83896,Hensbroek,Netherlands
83897,Hengstdal,Netherlands
83898,Hengevelde,Netherlands
83899,Hengelo,Netherlands
83900,Hengelo,Netherlands
83901,Hendrik-Ido-Ambacht,Netherlands
83902,Hem,Netherlands
83903,Helvoirt,Netherlands
83904,Helpman,Netherlands
83905,Helmond,Netherlands
83906,Hellevoetsluis,Netherlands
83907,Helden,Netherlands
83908,Heksenberg,Netherlands
83909,Heino,Netherlands
83910,Heiloo,Netherlands
83911,Heiligerlee,Netherlands
83912,Heijplaat,Netherlands
83913,Heijen,Netherlands
83914,Heide,Netherlands
83915,Hegelsom,Netherlands
83916,Heeze,Netherlands
83917,Heeswijk-Dinther,Netherlands
83918,Heesterakker,Netherlands
83919,Heesch,Netherlands
83920,Hees,Netherlands
83921,Heerlen,Netherlands
83922,Heerle,Netherlands
83923,Heerjansdam,Netherlands
83924,Heerhugowaard,Netherlands
83925,Heerewaarden,Netherlands
83926,Heerenveen,Netherlands
83927,Heerde,Netherlands
83928,Heer,Netherlands
83929,Heemstede,Netherlands
83930,Heemskerk,Netherlands
83931,Heelsum,Netherlands
83932,Heel,Netherlands
83933,Heeg,Netherlands
83934,Heechterp,Netherlands
83935,Hedel,Netherlands
83936,Havelte,Netherlands
83937,Haulerwijk,Netherlands
83938,Hattemerbroek,Netherlands
83939,Hattem,Netherlands
83940,Hatert,Netherlands
83941,Hasselt,Netherlands
83942,Harskamp,Netherlands
83943,Harlingen,Netherlands
83944,Harkstede,Netherlands
83945,Harkema,Netherlands
83946,Harenkarspel,Netherlands
83947,Haren,Netherlands
83948,Harderwijk,Netherlands
83949,Hardenberg,Netherlands
83950,Hurdegaryp,Netherlands
83951,Haps,Netherlands
83952,Hapert,Netherlands
83953,Handel,Netherlands
83954,Halsteren,Netherlands
83955,Hallum,Netherlands
83956,Halfweg,Netherlands
83957,Halfweg,Netherlands
83958,Haelen,Netherlands
83959,Haastrecht,Netherlands
83960,Haarsteeg,Netherlands
83961,Haarlem,Netherlands
83962,Haarle,Netherlands
83963,Haaren,Netherlands
83964,Haanrade,Netherlands
83965,Haamstede,Netherlands
83966,Haalderen,Netherlands
83967,Haaksbergen,Netherlands
83968,Haaften,Netherlands
83969,Guttecoven,Netherlands
83970,Gulpen,Netherlands
83971,Grou,Netherlands
83972,Groot IJsselmonde,Netherlands
83973,Grootegast,Netherlands
83974,Groot-Ammers,Netherlands
83975,Gronsveld,Netherlands
83976,Groningen,Netherlands
83977,Groessen,Netherlands
83978,Groesbeek,Netherlands
83979,Groenewoud,Netherlands
83980,Groenekan,Netherlands
83981,Grijpskerke,Netherlands
83982,Grijpskerk,Netherlands
83983,Griffioen,Netherlands
83984,Grevenbicht,Netherlands
83985,Grave,Netherlands
83986,Grashoek,Netherlands
83987,Grafhorst,Netherlands
83988,Gracht,Netherlands
83989,Gouwsluis,Netherlands
83990,Goutum,Netherlands
83991,Goudswaard,Netherlands
83992,Gouderak,Netherlands
83993,Gouda,Netherlands
83994,Gorssel,Netherlands
83995,Gorredijk,Netherlands
83996,Gorinchem,Netherlands
83997,Goor,Netherlands
83998,Goirle,Netherlands
83999,Goes,Netherlands
84000,Goedereede,Netherlands
84001,Glimmen,Netherlands
84002,Ginneken,Netherlands
84003,Gilze,Netherlands
84004,Giethoorn,Netherlands
84005,Gieten,Netherlands
84006,Giessendam,Netherlands
84007,Giessenburg,Netherlands
84008,Giessen,Netherlands
84009,Giesbeek,Netherlands
84010,Gytsjerk,Netherlands
84011,Gerwen,Netherlands
84012,Genoenhuis,Netherlands
84013,Gennep,Netherlands
84014,Gendt,Netherlands
84015,Gendringen,Netherlands
84016,Genderen,Netherlands
84017,Gemonde,Netherlands
84018,Gemert,Netherlands
84019,Geleen,Netherlands
84020,Geldrop,Netherlands
84021,Geldermalsen-West,Netherlands
84022,Geldermalsen,Netherlands
84023,Geitenkamp,Netherlands
84024,Geffen,Netherlands
84025,Geertruidenberg,Netherlands
84026,Geenhoven,Netherlands
84027,Gasselternijveen,Netherlands
84028,Gasselte,Netherlands
84029,Garyp,Netherlands
84030,Garderen,Netherlands
84031,Gameren,Netherlands
84032,Gageldonk,Netherlands
84033,Frankhuis,Netherlands
84034,Franeker,Netherlands
84035,Flevowijk,Netherlands
84036,Fijnaart,Netherlands
84037,Ferwert,Netherlands
84038,Feijenoord,Netherlands
84039,Farmsum,Netherlands
84040,Exloo,Netherlands
84041,Etten,Netherlands
84042,Essesteijn,Netherlands
84043,Esch,Netherlands
84044,Erp,Netherlands
84045,Ermelo,Netherlands
84046,Epse,Netherlands
84047,Epe,Netherlands
84048,Enschot,Netherlands
84049,Enschede,Netherlands
84050,Ens,Netherlands
84051,Enkhuizen,Netherlands
84052,Emst,Netherlands
84053,Emmerschans,Netherlands
84054,Emmermeer,Netherlands
84055,Emmerhout,Netherlands
84056,Emmer-Erfscheidenveen,Netherlands
84057,Emmer-Compascuum,Netherlands
84058,Emmen,Netherlands
84059,Emmeloord,Netherlands
84060,Elst,Netherlands
84061,Elspeet,Netherlands
84062,Elsloo,Netherlands
84063,Elshout,Netherlands
84064,Ellecom,Netherlands
84065,Elden,Netherlands
84066,Elburg,Netherlands
84067,Ekenrooi,Netherlands
84068,Einighausen,Netherlands
84069,Eindhoven,Netherlands
84070,Eijsden,Netherlands
84071,Eibergen,Netherlands
84072,Egmond-Binnen,Netherlands
84073,Egmond aan Zee,Netherlands
84074,Egchel,Netherlands
84075,Eexta,Netherlands
84076,Eext,Netherlands
84077,Eersel,Netherlands
84078,Eerschot,Netherlands
84079,Eerde,Netherlands
84080,Eerbeek,Netherlands
84081,Eenrum,Netherlands
84082,Eelde,Netherlands
84083,Eefde,Netherlands
84084,Ederveen,Netherlands
84085,Ede,Netherlands
84086,Edam,Netherlands
84087,Eckart,Netherlands
84088,Echtenerbrug,Netherlands
84089,Dwingeloo,Netherlands
84090,Duizel,Netherlands
84091,Duivendrecht,Netherlands
84092,Duiven,Netherlands
84093,Duinzigt,Netherlands
84094,Duindorp,Netherlands
84095,Druten,Netherlands
84096,Drumpt,Netherlands
84097,Dronten,Netherlands
84098,Dronryp,Netherlands
84099,Drogeham,Netherlands
84100,Driemond,Netherlands
84101,Driemanspolder,Netherlands
84102,Driel,Netherlands
84103,Driehuizen,Netherlands
84104,Driebruggen,Netherlands
84105,Driebergen-Rijsenburg,Netherlands
84106,Drachtstercompagnie,Netherlands
84107,Drachten,Netherlands
84108,Dorst,Netherlands
84109,Dordrecht,Netherlands
84110,Doorwerth,Netherlands
84111,Doornsteeg,Netherlands
84112,Doornspijk,Netherlands
84113,Doornenburg,Netherlands
84114,Doorn,Netherlands
84115,Doonheide,Netherlands
84116,Donkerbroek,Netherlands
84117,Donk,Netherlands
84118,Dongen,Netherlands
84119,Dommelen,Netherlands
84120,Domburg,Netherlands
84121,Dokkum,Netherlands
84122,Doetinchem,Netherlands
84123,Doesburg,Netherlands
84124,Doesburg,Netherlands
84125,Doenrade,Netherlands
84126,Dirksland,Netherlands
84127,Dirkshorn,Netherlands
84128,Dinteloord,Netherlands
84129,Diever,Netherlands
84130,Diessen,Netherlands
84131,Dieren,Netherlands
84132,Diepenheim,Netherlands
84133,Diemen,Netherlands
84134,De Wijk,Netherlands
84135,De Wijert,Netherlands
84136,Deventer,Netherlands
84137,Deuteren,Netherlands
84138,De Uithof,Netherlands
84139,De Rompert,Netherlands
84140,De Rijp,Netherlands
84141,De Reit,Netherlands
84142,De Peulen,Netherlands
84143,De Noord,Netherlands
84144,Den Oever,Netherlands
84145,Den Helder,Netherlands
84146,Den Ham,Netherlands
84147,Den Dungen,Netherlands
84148,Den Burg,Netherlands
84149,De Mheen,Netherlands
84150,De Maer,Netherlands
84151,De Loo,Netherlands
84152,De Lier,Netherlands
84153,Delfzijl,Netherlands
84154,Delft,Netherlands
84155,Delfshaven,Netherlands
84156,Delden,Netherlands
84157,De Kruiskamp,Netherlands
84158,De Koog,Netherlands
84159,De Kieviet,Netherlands
84160,Deil,Netherlands
84161,De Hoven,Netherlands
84162,De Heeg,Netherlands
84163,De Hagen,Netherlands
84164,De Greiden,Netherlands
84165,De Goorn,Netherlands
84166,De Glip,Netherlands
84167,Deest,Netherlands
84168,De Drait,Netherlands
84169,De Doornakkers,Netherlands
84170,De Domp,Netherlands
84171,De Blaak,Netherlands
84172,De Bilt,Netherlands
84173,Dauwendaele,Netherlands
84174,Damwâld,Netherlands
84175,Dalfsen,Netherlands
84176,Dalen,Netherlands
84177,Culemborg,Netherlands
84178,Cuijk,Netherlands
84179,Cranendonck,Netherlands
84180,Cothen,Netherlands
84181,Commandeurs,Netherlands
84182,Colijnsplaat,Netherlands
84183,Coevorden,Netherlands
84184,Coevering,Netherlands
84185,Coendersborg,Netherlands
84186,Chaam,Netherlands
84187,Castricum,Netherlands
84188,Carnisse,Netherlands
84189,Capelle-West,Netherlands
84190,Capelle aan den IJssel,Netherlands
84191,Callantsoog,Netherlands
84192,Bussum,Netherlands
84193,Bunschoten,Netherlands
84194,Bunnik,Netherlands
84195,Bunde,Netherlands
84196,Buitenpost,Netherlands
84197,Budschop,Netherlands
84198,Budel-Schoot,Netherlands
84199,Budel-Dorplein,Netherlands
84200,Budel,Netherlands
84201,Buchten,Netherlands
84202,Brunssum,Netherlands
84203,Brunnepe,Netherlands
84204,Brummen,Netherlands
84205,Brukske,Netherlands
84206,Bruinisse,Netherlands
84207,Bruchem,Netherlands
84208,Brouwershaven,Netherlands
84209,Broeksterwâld,Netherlands
84210,Broeksittard,Netherlands
84211,Broek op Langedijk,Netherlands
84212,Broek in Waterland,Netherlands
84213,Broekhoven,Netherlands
84214,Broekhem,Netherlands
84215,Brinkhorst,Netherlands
84216,Brielle,Netherlands
84217,Breukelen,Netherlands
84218,Breugel,Netherlands
84219,Breskens,Netherlands
84220,Breezand,Netherlands
84221,Bredeweg,Netherlands
84222,Bredevoort,Netherlands
84223,Breda,Netherlands
84224,Brand,Netherlands
84225,Brakkenstein,Netherlands
84226,Brakel,Netherlands
84227,Brachterbeek,Netherlands
84228,Brabander,Netherlands
84229,Boxtel,Netherlands
84230,Boxmeer,Netherlands
84231,Boven-Hardinxveld,Netherlands
84232,Bosschenhoofd,Netherlands
84233,Boskoop,Netherlands
84234,Boskamp,Netherlands
84235,Bosch en Duin,Netherlands
84236,Borssele,Netherlands
84237,Borne,Netherlands
84238,Born,Netherlands
84239,Borgharen,Netherlands
84240,Borger,Netherlands
84241,Borgele,Netherlands
84242,Borculo,Netherlands
84243,Boornbergum,Netherlands
84244,Bolsward,Netherlands
84245,Bolnes,Netherlands
84246,Boekel,Netherlands
84247,Bodegraven,Netherlands
84248,Bocholtz,Netherlands
84249,Blokzijl,Netherlands
84250,Bloemhof,Netherlands
84251,Bloemendaal,Netherlands
84252,Bloemendaal,Netherlands
84253,Blitterswijck,Netherlands
84254,Blijham,Netherlands
84255,Bleskensgraaf,Netherlands
84256,Bleiswijk,Netherlands
84257,Bleijerheide,Netherlands
84258,Blaricum,Netherlands
84259,Bladel,Netherlands
84260,Blaarthem,Netherlands
84261,Bitswijk,Netherlands
84262,Burdaard,Netherlands
84263,Binnenhof,Netherlands
84264,Bilgaard,Netherlands
84265,Bijvanck,Netherlands
84266,Biesland,Netherlands
84267,Biesdonk,Netherlands
84268,Biddinghuizen,Netherlands
84269,Beverwijk,Netherlands
84270,Beusichem,Netherlands
84271,Beuningen,Netherlands
84272,Best,Netherlands
84273,Besoijen,Netherlands
84274,Berltsum,Netherlands
84275,Berlicum,Netherlands
84276,Berkum,Netherlands
84277,Berkhout,Netherlands
84278,Berkenwoude,Netherlands
84279,Beringe,Netherlands
84280,Burgum,Netherlands
84281,Bergstoep,Netherlands
84282,Bergschenhoek,Netherlands
84283,Berghem,Netherlands
84284,Bergharen,Netherlands
84285,Bergeijk,Netherlands
84286,Bergen op Zoom,Netherlands
84287,Berg en Dal,Netherlands
84288,Berg en Bos,Netherlands
84289,Bergen,Netherlands
84290,Berg,Netherlands
84291,Berg,Netherlands
84292,Benthuizen,Netherlands
84293,Bennekom,Netherlands
84294,Bennebroek,Netherlands
84295,Bemmel,Netherlands
84296,Beltrum,Netherlands
84297,Bellingwolde,Netherlands
